label	content
1	hillary clinton co sponsored legislation would jail flag burner
0	say paperback edition mitt romney book deleted line massachusetts individual mandate model country
0	maggie hassan raised tuition making highest america
0	say terry mcauliffe person invented scheme rent lincoln bedroom
1	created new job cut unemployment rate almost half today new york state private sector job ever history
0	town west texas water truck water
1	georgia woman earn cent every dollar earned men
1	federal system verifies employee authorized work inaccurate anywhere percent way excess percent time
0	going build wall ago long ago like couldnt get environmental impact statement
0	sen obama campaign announced choosing cabinet
1	percent latino texas registered vote percent actually turned
0	percent public high school country offer pe class
1	said republican candidate actually turned around government economy
1	military recruiter harvard elena pagan took position supreme court ruled unanimously wrong
1	public school teacher texas non teacher public school
0	
0	
1	main capital helped start early childhood learning company called bright horizon first lady michelle obama rightly praised
0	say man rushed stage dayton ohio chatter isi isi social medium post
0	rep phil dimgrey gave government power electronically spy american without warrant
0	alex sink fueled three quarter million dollar bid contract bank america
1	take population growth virginia net zero job creation since bob mcdonnell became governor
0	obama home value florida collapsed construction job lost state high foreclosure rate
1	new arizona immigration law say police officer stop anyone appears reasonably suspicious undocumented person
1	time history debt higher end world war ii
1	cost health care single biggest factor driving federal budget deficit
1	recession consumer native perversity begun save saving rate percent
0	whether supreme court nominee forthcoming confirmation hearing
0	say one three homeless men veteran
0	say charlie crest support cut medical advantage program
1	think unacceptable chinese today larger wind power solar panel photovoltaic manufacturing europe put together forget united state
1	say scott brown co sponsored legislation let employer deny woman coverage birth control
1	point life woman use birth control
0	past year egypt made great stride political democratic reform
0	amount attention paid week chris christie make coverage bengali pale significance
1	say rep steve southland voted keep shutdown going
1	rick perry texas import nurse country
1	federal criminal law say crime transport venture across state line
1	built new prison every day keep mass incarceration explosion nonviolent offender
0	sen mccain tax plan provides virtually nothing middle class
0	austin burdened fastest growing tax increase major city nation
0	phoenix arizona kidnapping capital world
1	
1	insurance commissioner cant squat health care
1	say poll found republican candidate could beat barack obama texas eight point
0	president ronald reagan sent troop conflict one circumstance grenade peacekeeping setting lebanon
0	say david jolly support privatizing social security
1	know u population growth lowest since great depression
1	average student florida actually pay pocket major university tuition much le spend cellphone
1	since american died gunfire died war country history
1	foreclosure tax would take effect could mean high tax bill facing foreclosure million family modified mortgage short sale lender
0	florida department agriculture website freshfromflorida com used get permit carry loaded hidden gun without ever leaving house
0	atlanta streetcar expected create job construction totaling job next year
1	raising minimum wage hour would help lift million american poverty
1	say secretary state john kerry senator flew manager met communist dictator daniel omega accused reagan administration engaging terrorism
0	nato opening major terror division im sure im going get credit largely saying criticism nato
1	sen obama always percent prochoice rating
1	since gina raymond took office investment fee state pension portfolio gone million annually million
1	federal debt growing billion day
1	president barack obamas job bill state would longer lay teacher firefighter police officer
0	teacher teacher today year old
1	two third wisconsinite receiving unemployment check required search work due current work search exemption
1	president obamas health care reform premium average plan family didnt go per year gone per year
1	irs also investigated liberal group group progressive name irs basically looking everybody
0	say obama promised unemployment would never go percent
1	economy creating job fastest pace since
1	president obama decided meet prime minister benjamin netanyahu new york
1	majority state marry freely still fired love
0	say oregon rep peter defazio earl blumenauer socialist openly serving congress
0	rude giuliano probably underqualified man since george bush seek presidency
0	half president governor half senator
1	britain vote leave european union within hour american lost billion
1	medical spending declined percent second decline year
1	say texas constable died line duty
1	gov rick scott cut cost prepaid college tuition nearly
1	city columbus would save million year employee contribute guaranteed check pension
1	florida cfo shut krakow scam refused million josephine victim con man
1	woman getting computer science degree factor plus
0	air force want taxpayer fund fantasy football league
0	barack hussain obama force court accept islamic sharia law domestic dispute
1	percent murder crime committed gun people actually legally purchase gun
1	
1	told gay organizer massachusetts would stronger advocate special right even ted kennedy
1	year speaker florida house consistently offered leader budget governor offered
0	already almost halfway goal creating new job seven year
1	say supreme court found social security guaranteed
0	saysmichael bennett want close guantanamo bay prisonand bring terrorist right colorado
1	oregonian amazing cost way fight abortion free political donation
0	president said he going bring syrian iraqi refugee country
0	research show vast majority arriving immigrant today come believe government source prosperity thats support
1	newt gingrichs immigration plan offer new doorway amnesty
0	mr caption career politician never worked private sector
0	rhode island percent worker use state temporary disability insurance program year new jersey rate percent
1	year spending social security federal health care interest debt exceed tax revenue
1	president obama took money wall street campaign anybody ever
1	donald trump said nuclear proliferation ok
1	
0	barack obama never even worked business
1	say arizona immigration law expressly ban racial profiling
0	say gov rick perry begging federal government send coast guard patrol two lake mexico border
0	va veteran died waiting care
1	
0	rob cornilles support privatizing medical
0	dan branch tried expand third trimester abortion texas
1	democrat made steady progress creating job improving school
0	michigan massachusetts raised bottle deposit could longer afford program redemption high profit
1	whether like admit half general revenue go education
0	im one who fought developer draining everglades
1	say ron johnson call social security pond scheme want privatized program
1	state city type policy passed referring north carolina house bill
0	climate change directly related growth terrorism
0	job bill includes president obamas tax soup kitchen
0	say obama administration spent taxpayer dollar electric car finland windmill china
1	sarah mayor vanilla tried fire highly respected city librarian librarian refused consider removing library book sarah wanted removed
1	milwaukee approves reducing maximum forfeiture marijuana possession city would different bicycle violation higher forfeiture
0	illegal immigrant five year ago
0	say rick perry wrote letter supporting hillarycare
0	patent trademark office received zero complaint washington redskins name
0	president health care proposal cause american premium increased decreased hundred million people lose current insurance coverage
1	mexican immigrant law abiding citizen statistic
1	say chris christie vetoed job package bill
1	already american job solar industry coal mining
1	say illinois gubernatorial candidate bill brady first priority winning primary sponsor bill would mass euthanize sheltered dog cat gas chamber
1	barack obama economy thats worsened since he president united state
1	romney failed take action sanctuary city massachusetts
1	say new jersey nearly job pre recession peak gov chris christie new jersey trailed rest america come unemployment consecutive month
0	say thomas eric duncan came united state elevated temperature
1	afghanistan longer foreign land conducting war nation history
1	gas price gone since obama took office
1	webster sponsored bill create form marriage would trap woman abusive relationship
1	say judge get better benefit lower cost everybody else state
1	lot casino across country gone bankrupt
1	small business create percent job america
1	senior coverage medical advantage give share health care reform
1	school kid arrested florida make florida nation leader area
1	texas country economy would rank world
0	oil rig operation united state rest world combined
1	panda lender profit poor charging plus percent interest
1	social security trust fund sound without anything done would function well even time change could pay percent benefit people earned
1	commitment voter take seriously incumbent ohio break pledge vote ted strickland income tax hike defeated soundly tuesday
0	obama administration shut amber alert program government shutdown
1	
1	see america prison population exploding america greater percentage people behind bar nation world
0	say hearing rep gabriel affords suggested gen david perseus army put emphasis le environmentally damaging method like stabbing climbing enemy force order minimize carbon output
1	every single one republican senator blocked raise minimum wage receive cost living adjustment january
1	texas name new male baby many vote one day jose
1	marco rubio voted authorizing president obama strike syria assad used chemical weapon people
0	cash clusters program got go local junkyard got tow house going get
0	one republican gut recognize climate change real
1	people work longer hour lower wage almost new income go top percent
0	david dewhurst record promoting income tax
1	point pleasant beach beach privately owned operated business jenkinsons
0	past year percent american changed mind war afghanistan conclude
0	last five year people killed along mexico border
0	state ohio one lowest unemployment rate nation right leading pack term job creation
0	say obama health reform law denies million access affordable insurance
0	say hb hasn moved needle one iota north carolina economy
0	close federal prison population consists illegal immigrant
0	say rick scott called education core function state
0	family research council according government agency terrorist group
1	say rep jim winner proposed bill taking away health care oregon child
1	say election former gov tom mean largest winning margin gubernatorial candidate jersey history
0	obamacare biggest tax increase american history
1	said barack obama ready commander chief
1	median male worker country seen raise inflation adjusted year basically
0	milwaukee mayor tom barrett held line property tax
1	im member house representative raised campaign fund last election small contribution le
1	unlike gridlock washington percent bill passed general assembly bipartisan support
0	josh mandal lying record rating ohio investment fund improved
1	rick scott took family leased land drilling trying hide
1	money possible lease ohio turnpike would used
1	beginning last decade america budget surplus billion time took office one year deficit trillion projected deficit trillion next decade
1	president nomination confirmed four defeated
1	taxpayer forced fund final abdul runs trip middle east
0	milwaukee county taxpayer paid settle lawsuit decision sheriff david clarke jr use untrained correction officer rather deputy patrol lakefront
1	justice department policy fbi director james come discussing detail federal investigation close election
1	democratic president considerably effective creating private sector job
1	joe biden voted first gulf war opposed surge wanted partition iraq
0	say rush limbaugh made clear hed rather see country fail president barack obama succeed
1	one percent american people make percent income america wasnt way george bush became president
1	military recruiting went harvard every single day throughout time pagan
1	say rick perry plan texas cut funding public school
1	say david purdue want abolish department education would cost georgia school billion year eliminate million student loan
1	paul ryan budget proposal would privatized medical
1	high school student arrested campus twice likely graduate four time le likely graduate theyre appeared court
1	united state imprisoned nation world
0	say marco rubio one open border
1	year federal spending education grown percent test score remain flat
0	say cut medical affect people already paid paid
0	david alameel giving thousand dollar support republican party candidate including john corbyn greg abbott
1	american healthcare system burn percent national gdp nobody else close
0	providence port mile closer europe eastern port
1	say need photo id purchase sudafed texas
1	twenty percent housing portland pearl district affordable
1	say allowing payroll tax holiday expire would end costing another estimated job
1	hillary clinton supported bafta permanent china trade pennsylvania lost thousand job
1	numerous study shown called right work law generate job economic growth
1	obama budget plan would take national debt percent gross national product historically percent
0	say hillary clinton said veteran affair scandal exaggerated said satisfied going
0	driven health care cost lowest theyre year
1	president barack obama initial response heard christmas underwear bomber say act isolated extremist
1	say sen sherdog brown admitted billion stimulus law failed specifically attacking republican wanting lower american tax claim stimulus bill didnt enough lower tax
1	lot people got rich pay top tax rate percent
1	charleston shootershould never given gun universal background check fast enough
0	sixty five percent iraqi people say okay shoot american soldier
0	twelve judge thrown legal challenge health care law rejected notion health care law unconstitutional
1	say gov chris christie proposal reduce state income tax would second tax cut rich governor two year
1	
1	say george lemieux one two republican voted president barack obamas job bill
0	precinct allen west patrick murphy recount registered voter guatemala community tally showed voted
1	people unemployment took office unemployment
0	one person kathleen sebelius going determine whether year old lung patient sarah murnaghan would live die
0	ron klein repeatedly voted favor amnesty illegal immigrant
0	local law enforcement access data hub treasure trove personal info
1	tenure mayor saw houston crime rate drop lowest level year
0	barack obamas columbia university id say foreign student went barry soetoro
0	john mccain one richest people senate filled millionaire say solution housing crisis people get second job skip vacation
0	terry mcauliffe want raise tax pay infinite promise
1	hypocrisy clinton foundation top male staff made average top female staff made
1	since federal violence woman act adopted case domestic violence fallen percent
1	say federal law enforcement officer cut questioning christmas day underwear bomber giving miranda warning minute questioning
1	
1	
1	borrowing saudi money saudi oil result dependency debt
1	say home sale around oswego lake right anyone welcome buy
1	since president became president lost million job private sector know who done ok who complaining today public sector were gained public sector job
0	top percent pay half entire revenue country
0	difference previous four year thing headed brought last four year total saved property tax money
1	chris christie increased tax anyone
0	united state system rower dairy bring workforce legally
0	say never said would keep education funding
1	since college tuition nationwide gone something like four time rate inflation
1	say sen rob portal said would irresponsible cut medical
1	deal school construction project always came budget
0	palin supported right wing extremist pat buchanan president
0	say sen sherdog brown voted block american energy production increase energy tax
0	say jean shaken voted measure would amounted new national energy tax
1	washington stricter gun law country passed violence skyrocketed
1	seven president barack obama republican democrat tried expand health care american
0	fighting move tougher penalty workplace gender discrimination state sen glenn grothman said didnt believe woman belonged workplace belonged home cooking cleaning baby
0	put billion revenue raised year buffet rule infrastructure could create infrastructure job
0	proper collective noun group maroon believe congress
1	repeatedly said many predatory loan made mortgage system target african american latino community
1	starting december million job created texas period rest country lost job
0	health reform legislation washington passed last year made difficult hire increased cost employer
0	cbo congressional budget office said obamacare kill job
0	thompson voted cap damage almost anything would make legal system faire
0	texas fiscal year money reserve state combined
0	
1	
1	proposed education change cut one teacher pay
0	number uninsured people massachusetts mandate passed
1	firearm homicide percent since texas passed concealed gun permit law
0	upwards percent woman seeking abortion decide abortion seeing ultrasound
0	spend le defense today gdp time since pearl harbor
1	got rid income tax today much revenue year ago
1	say scott walker want ban common form birth control including pill
0	jason lander support plan bring remaining suspected terrorist soil
1	shell county donated im sorry gave school city memphis
1	top intelligence official toldevery member congress including president attacked serious way threat emanating syria iraq
1	suburb inundated former resident atlanta housing project absolutely
1	july mitt romney helped locate missing teenage daughter partner main capital
0	blame mike mcintyre nancy pesos second straight year cost living increase social security beneficiary
0	government going right get bank account health care bill make transfer without knowing
1	mechanism place shut internet privately
0	american people support defending obamacare oppose shutting government
1	report insisting change social security part false btw change supported
1	nobody played clip president obama saying bring knife fight well bring gun
0	people rhode island dont want sex marriage
1	rep paul ryan medical plan line pocket private insurance company increase cost senior reduce deficit
0	year congress ronnie mack iv missed almost half vote
0	kid drop high school can not go college start career
0	even old gen eisenhower salute military personnel president
1	wisconsin governor cut requisite much plan would still leave worker better private sector counterpart
0	cant get airplane people list able buy gun
0	percent republican support affordable care act
1	every spent afterschool program save almost crime cost line
1	federal government trillion cash flow pay bill wont default
0	say alex sink failed florida homeowner using predatory lending practice
0	percent small mid size bank loan money small business wiped since odd frank passed
0	cant check library book without photo id
0	say starbucks took christmas brand new cup
1	atmospheric condition could push football pressure approximately one half pound per square inch
0	hillary clinton support unlimited abortion demand moment birth including partial birth abortion taxpayer funding
1	legislation cleared georgia house child legal refugee could obtain state scholarship attend private school
1	went losing million job last six month bush administration adding almost private sector job first six month year
1	star ohio fund received highest possible credit rating one fund receive
1	taxpayer hook le third proposed new atlanta falcon stadium fund repaid money come outsider
1	last month business created million job last year created job since
1	every year million leaving missouri lone star state
1	college loan loan united state can not finance interest rate go
1	house representative never passed resolution disapproval condemn member behavior
1	
1	recent international report show united state near bottom among industrialized nation academic achievement
1	say million people country cant find full time job million cant see doctor theyre sick million people need government help feed million family owe value home
1	policy mistake clinton made got u large degree situation today mass incarceration
0	say raised average family income percent tenure arkansas governor
1	tried give u million build high speed train go mile hour
1	say cbo estimate fully extending bush tax cut would add million job million job
1	president reagan raised debt ceiling time george bush seven time
1	according david cay johnston average american pay percent income federal tax richest american pay percent income federal tax
0	young american right theyre covered health insurance
1	corporate income tax accounted percent federal tax revenue today despite record breaking profit corporate tax bring le percent
1	last year texas created percent net new job nationwide
0	say two third group targeted irs scrutiny conservative
0	class patrick lumumba university moscow mahmoud abbas one member class ali khamenei thats first established relationship young vladimir putin
1	last week texas state board education shoe led rick perry appointee voted remove thomas jefferson social study textbook standard thats right thomas jefferson deleted list historical figure inspired political change
0	senator salary per top percent still paid percent tax last year
1	know pull truth matter started today would take one year one year get troop physically iraq logistical
1	richest american increased net wealth billion yet republican budget would require american contribute one penny deficit reduction
1	say foster mayor rick kriseman ineffective florida house representative legislation passed house krisemans name
1	say texas routinely get lot federal spending pay tax
0	cell phone number go public month
0	say offered million saving million saving next year contract negotiation city milwaukee
0	clackamas county commissioner approved negotiated agreement lower county contribution times portland milwaukee light rail project million million
1	say texas different felony commit oyster
0	obama administration unwilling nation welfare work requirement
1	electric car sale georgia dropped dramatically since tax credit eliminated annual registration fee imposed july
1	redskins training camp deal generated million new private investment city
1	gop budget plan would cut nearly million job
1	people living country born anytime history country
1	say hillary clinton defended syria president assad possible reformer start country civil war
1	postal service financial loss result law drain billion year post office revenue postal service forced overlay billion federal account
1	many six federal department budget bill delayed opposition amendment would ban confederate battle flag sale federal building gift shop
0	shes voted tax increase hurting middle class small business
0	house representative different job bill passed almost bipartisan
0	shell jackson lee texas said hey frankly white aged been time die let next generation spot planet
0	republican small business tax cut bill spends million better google search job creation
1	state law would allow operator iron ore mine northern wisconsin fill pristine stream pond mine waste
0	america one highest taxed nation world
0	black america country id th wealthiest nation world
1	since republican took election graduation rate wisconsin gone percent percent black graduation rate gone percent percent latino graduation rate gone percent percent
0	estimated nearly percent gun sold america sold private unlicensed seller either online gun show
1	deadliest year war afghanistan american force
1	florida teacher already paid national average
1	since rick perry became governor texas gone th country th population graduate high school
1	say amanda fritz manages le percent city operation
1	streetcar project planned mayor tom barrett would style trolley
1	american last year doubled amount money spending per child education result gotten worse better
0	poll show florida dont want repeal affordable care act
0	say congressman bill pascrell voted remove public option affordable health care act
1	lawmaker paid season effort first time take lead drawing border two would city
0	greg abbott surrogate referred woman victim rape incest though somehow confronting minor issue
1	
0	proposed medical marijuana amendment florida dont get fill get forever
0	data storing microchip would implanted majority people opt become covered public health care option
1	enacting right carry act would amount expanding right sex offender terrorist child predator abuser carry concealed weapon across state line
1	
0	say treasurer office saved million management cost oversight public investment
1	say georgia send state money per child state charter school budget cut applied charter school
0	jorge flora want impose municipal income tax
0	supreme court cant overrule two branches government
0	
1	nathan deal cut hope scholarship program literally georgia able go college get technical training badly needed raise know give chance good job
1	governor arkansas cut tax fee almost time saving taxpayer almost million left surplus nearly million
1	havent raised tax time ive governor new jersey
0	massachusetts public school teach kid young kindergarten gay marriage
0	probably one four five best known american world
0	accepting legal immigrant ever history united state
1	congress bewildered scope reach spying apparatus explicitly rejected amendment calling disclosure
1	six people florida die result expanding medical every day
1	gov maggie hassan budget proposal raise tax small business increase tax fee million
0	washington would politician spend million teach morocco make pottery
1	hillary clinton start percent country
0	saysrand paula put budget cut military half
1	group receive foreign money spending huge sum influence american election
1	say legislative cut mean texas spending average le per student
1	current rate president obama added debt united state america end first term previous president combined
1	know saudi arabia started al qaeda
1	say williamson county attorney jan duty never prosecuted single adult felony case
0	fundraising number grassroots support unmatched
1	issue make illegal u negotiate enough firefighter job
1	say although unemployment rate seems improving reflect real job creation caused shrinking actual labor force
0	gov scott walker hired convicted assembly speaker scott jensen oversee raid state employee retirement system help balance state budget
0	obama voted cut funding american troop battlefield
1	general appears wisconsin right work bill would likely apply green bay packed player union
1	called defense minister people republic donetsk actually posted bragging social medium posting shot military transport became apparent civilian pulled social medium
1	democrat kind falling seeing raise tax faster look like going raise tax anywhere percent
1	right one highest job growth sector leisure hospitality were added job mostly fall within restaurant bar sector industry high paying job department labor estimate industry sector lowest average wage lowest proportion workforce earning minimum subminimum wage job
0	gov scott walker bought new brand new vehicle state probably dont need
1	say passed eight measure including one prevent growing airport security check bar sanctuary city texas
0	gotten point average federal worker make twice much average private sector worker
0	political appointee ipac make major health care decision million american
0	say store barred selling watt light bulb
1	last three president go back early find three president row consecutively elected
0	jason carter support using georgia tax dollar promote obamacare
1	recent associated press poll nder gonzalez percent without national coverage mccain obama
1	dan patrick said woman get paid le man job thats problem
1	were got average soldier committing suicide thats day
0	even republican congressman said give u money dont know would even put additional border patrol agent
1	today first time fifteen year master lock ionized plant milwaukee running full capacity
1	tom reed actually voted every single trade deal ever come form
0	isi camp mile texas mexican authority confirm
0	new federal projection estimate health care overhaul cost trillion year well billion democrat originally claimed
0	say new jersey rep donald payne frank alone socialist openly serving congress
0	unemployment rate may high percent
1	common core federal government fingerprint thing
0	social security indeed pond scheme
0	say scott walker bag lot independent agency investigate police shooting course didnt fund
1	arizona law make state crime something already federal crime
0	country founded congress exactly attitude sanctity christmas celebration eleven today yeah open
1	miami date county spend school system million every year educating recent immigrant
0	
1	trump proposed enacting largest tax increase american history
1	senator mccain talking tough remark good remark account billion budget
1	kim myers voted repeatedly raise tax people broom county made million tax saving family business relocated headquarters
1	california prop would requirecondom sein adult film would put worker adult film industry riskfor lawsuit harassment
1	pay among highest toll nation privilege crossing bridge
1	sen isaksons chambliss vote unemployment insurance vote kill nearly georgia job
0	say real estate tax put place pay obamacare
1	say today unemployment running near percent last four year legislature hasn done much lower
0	say kay bailey hutchison voted sanctuary city
1	john mica voted borrow trillion
0	say opponent mary burke told reporter would required worker give bargain healthcare retirement benefit like gov walker
1	mccain hired biggest lobbyist washington run campaign
0	want raise anybody tax rate thats never table
1	terrorist killed american lebanon ronald reagan democrat didnt make partisan issue
1	first time party picked multiple seat regular election since mid making largest majority party year
0	john raging populist four year ago ran president
1	house republican complained didnt enough time consider constitutional ban oil drilling showed proposal day open state water oil drilling
0	say one bush family attended republican national convention president bush convention
0	
1	flint mich paying three time poison water paying burlington vt clean water
0	were got personal tax system thats complicated cost american billion year comply current tax code
0	say portland school give muslim student school provided prayer room prayer rug let class five time day pray alla
0	texas republican believe abolishing social security abolishing health care
1	bulk people shot weapon drug gang taking one another end shot weapon
0	case general motor bush administration wrote check without asking condition change
1	salary uri faculty second last among new england land grant university lowest percent major research institution
0	say miami congressman carlos curbelo support drilling offshore repeatedly voted president obamas ability fight pollution combat climate change
0	president candidate obama asked disclose donor suspicion foreign source money campaign refused
0	oregon state state usa continues pay medical benefit employee family
0	wonder dont see rand paul much he still shopping billionaire he like one hasn found billionaire fund super pac
1	say donald trump crashed sept collecting federal fund intended help small business recover even though day attack trump said property affected
0	three year ago newly elected president obama told america congress approved plan borrow nearly trillion dollar would hold unemployment percent
0	independent payment advisory board created health care reform law like medical irs power cut medical order pay new government program
0	mitchell park dome lose million plus every year number people going dome going
0	bill legislature you go court fire employee
1	little evidence use red light camera new jersey reduced number severity accident intersection used
1	entire public school system camden last year three student graduated college ready
1	say nearly oregonian almost percent homeowner day delinquent mortgage
0	hate crime bill pastor preacher priest rabbi imam give sermon moral tradition sexual practice could found guilty federal crime
0	president obama said nobles rate would passed stimulus percent
1	george allen colleague senate turned biggest surplus history united state biggest deficit history united state
1	say president obama cracked employer attracting undocumented immigrant hiring previous president
1	say newt gingrich made affirmative statement would support would campaign republican support barbaric procedure known partial birth abortion
0	global aid spending helped reduce political instability violence percent recipient nation
1	told congress thanks thanks bridge nowhere
1	actual construction contract were awarded date come several hundred million dollar estimate
1	state school funding per pupil percent compared adjusting inflation
1	unemployment fallen percent president first year office percent today
1	american voter remain steadfast support immigration reform path citizenship percent want see reform passed year
0	
0	say tommy baldwin introduced bill would require doctor health care worker ask patient including young child whether gay lesbian bisexual know gender identity
1	say state rep wrist thibaut acorn lobbyist
1	atlanta trading point sexual slavery america girl sold slavery atlanta every month
1	according national survey transit ridership among people age increased percent
1	fiscal year abortion paid taxpayer via oregon health plan
0	legislative action taken could well rendered completely null void decision supreme court expected june
1	im republican candidate actually reduced size government
0	hard work much pay tax new york city end getting money im chris jacob think time someone albany thats making sure region get fair share
1	amazing fact senate already voted amendment reid allowed year last year
1	say state supreme court candidate joe donald twice supported incumbent justice rebecca bradley
1	one every four student fails earn high school diploma major city across america half kid dont graduate
0	state republican charge refused implement state health insurance exchange
0	say tweet sent wasnt saying check sex tape take look background alicia macho
0	photograph year old hillary clinton featured confederate battle flag background
1	texas lead nation percentage resident without health insurance
0	administration congress systematically cutting funding border security since democrat took control
0	new college tuition reciprocity agreement minnesota make college education affordable wisconsin resident
1	say cory booker support late term partial birth abortion opposes safety regulation
0	mitt romney first major party candidate president united state modern time release least year tax return
1	month july alone eu export south korea increased percent lot market share farmer service provider suffering
1	gov rick perry spent million dollar lobbyist asking federal money life luxury house cost taxpayer month
1	virginia lost job tim maine put partisan first serving dnc chairman last year governorship
1	dnc say mccain flip flipped whether iraq war would easy
1	say ohio law give tax break rich people private jet
1	say back space voted budget debt energy tax stimulus still lost million job
0	say paul ryan budget plan end medical
1	every ethic case resulted formal sanction there investigative subcommittee thats established first
1	say new hampshire third highest property tax country
1	obama tax plan cut tax percent working family
0	say colorado democraticcongressional candidate morgancarroll racked billion new spending state legislature
0	percent american today believe barack obama still muslim
0	carol shea porter want increase tax small business job creator
0	people hopeless sixty percent population percent population wanted live somewhere else time left percent wanted stay
1	bill delaying start class labor day would permit school district shave full week school year
0	whether united state intervene libya
1	percent kid live poverty attend cleveland public school
1	john kitzhaber created new job governor
1	say texas rank th nationally support per pupil investment education state
0	despite keeping distance national medium interviewer local press along last three month
0	said keep plan hasn changed since law passed
1	bernie sanders voted house hard line republican indefinite detention undocumented immigrant sided republican stand vigilante known minuteman taking outpost along border hunt immigrant
0	say florida didnt offer special incentive deutsche bank announced add job florida
0	say first family go four year college
1	gallon poll egypt last year percent egyptian dont want money
1	truth matter administration fbi crime statistic show violent crime reduced massachusetts percent
0	scott middot run losing campaign florida available cabinet position
1	american spend billion hour year tax preparation
1	budget managed department education million
0	first time ever energy independent
1	last year exon pocket nearly million every hour
1	harp largest seller insurance country vested interest seeing market retelling supplemental insurance expands
0	medical monthly premium go due provision incorporated obamacare legislation purposely delayed confuse election campaign
1	right percent florida student leaving high school can not read grade level
1	say republican sen john mccain vote president cuyahoga county general election seven state
0	marco rubio voted funding health clinic provide critical care public health emergency nika
1	youre trouble leave pet car leave child car
0	sayspeter kilmartin voted favor expanding good behavior statute sex offender
1	letting occupy atlanta protester stay woodruff park
1	put forward add penny debt
1	african american men prison jail probation parole enslaved
1	first week governor tim maine proposed nearly billion tax increase billion including tax increase people earning little year
1	lee fisher watch almost nine job ohio lost lost state country
1	every president raised debt ceiling
0	limiting labor negotiation wage part private sector
0	say contraception plan cheaper easier sen mark calls
1	
0	family del valle city austin resident drive astro go closest grocery store
1	john mccain opposed legislation fund levee flood control program considers pork
1	mitt romney pledged protect oil company record profit billion special tax break
1	mark warner voted nearly trillion new tax trillion new debt
0	state government spending increase percent year
0	say democrat first proposed pro government negotiating price prescription drug medical part nothing provision law
1	fcc net neutrality policy includes whatis essentially massive tax increase
1	typical white male worker country making real term making average worker making making
0	united nation arm treaty would almost certainly force create international gun registry setting stage full scale gun confiscation
1	people die medical misadventure firearm accident nationally florida
0	took office let remind virtually international pressure iran
1	minimum wage mostly entry level wage young people
0	say six study verify math add mitt romney tax plan
1	united state were year row wage declining
1	charlie crest six different position obamacare
1	last month alone apprehended extremist within border sent border region afghanistan pakistan commit new act terror
1	governor stood big oil company
1	year best private sector job growth since
0	say abortion doctor flying state performing abortion flying
1	speaker gingrich year supported federal individual mandate health insurance
1	least shooting year angel cameras mayor providence
1	maurice ferry say kendrick meek voted percent time democrat party
1	were created job united state every advanced economy combined since came office
0	one four inmate illegal immigrant
1	wisconsin dead last income growth among midwestern state gov scott walker term
0	three cent per ounce soda tax philadelphia would result loss family sustaining teaser union job countless job beverage industry
1	challenge administration suspend le public official month
0	kendrick meek florida taking tobacco cash opposed tax cigar would helped pay childrens health care
0	federal reserve policy led percent rise corn price percent rise wheat price percent spike sugar price last year
