label	content
0	atlanta streetcar expected create job construction totaling job next year
1	raising minimum wage hour would help lift million american poverty
1	say secretary state john kerry senator flew manager met communist dictator daniel omega accused reagan administration engaging terrorism
0	nato opening major terror division im sure im going get credit largely saying criticism nato
1	sen obama always percent prochoice rating
1	federal debt growing billion day
0	teacher teacher today year old
1	two third wisconsinite receiving unemployment check required search work due current work search exemption
1	economy creating job fastest pace since
1	president obama decided meet prime minister benjamin netanyahu new york
1	majority state marry freely still fired love
0	say oregon rep peter defazio earl blumenauer socialist openly serving congress
0	rude giuliano probably underqualified man since george bush seek presidency
0	half president governor half senator
1	britain vote leave european union within hour american lost billion
1	medical spending declined percent second decline year
1	say texas constable died line duty
1	gov rick scott cut cost prepaid college tuition nearly
1	city columbus would save million year employee contribute guaranteed check pension
1	florida cfo shut krakow scam refused million josephine victim con man
1	woman getting computer science degree factor plus
0	air force want taxpayer fund fantasy football league
0	barack hussain obama force court accept islamic sharia law domestic dispute
1	
1	told gay organizer massachusetts would stronger advocate special right even ted kennedy
1	year speaker florida house consistently offered leader budget governor offered
1	say supreme court found social security guaranteed
0	saysmichael bennett want close guantanamo bay prisonand bring terrorist right colorado
1	oregonian amazing cost way fight abortion free political donation
0	president said he going bring syrian iraqi refugee country
1	newt gingrichs immigration plan offer new doorway amnesty
0	mr caption career politician never worked private sector
1	year spending social security federal health care interest debt exceed tax revenue
1	president obama took money wall street campaign anybody ever
1	
0	barack obama never even worked business
0	say gov rick perry begging federal government send coast guard patrol two lake mexico border
1	
0	dan branch tried expand third trimester abortion texas
0	michigan massachusetts raised bottle deposit could longer afford program redemption high profit
1	whether like admit half general revenue go education
0	im one who fought developer draining everglades
0	illegal immigrant five year ago
0	patent trademark office received zero complaint washington redskins name
0	president health care proposal cause american premium increased decreased hundred million people lose current insurance coverage
1	mexican immigrant law abiding citizen statistic
1	already american job solar industry coal mining
1	romney failed take action sanctuary city massachusetts
0	say thomas eric duncan came united state elevated temperature
1	afghanistan longer foreign land conducting war nation history
1	webster sponsored bill create form marriage would trap woman abusive relationship
1	say judge get better benefit lower cost everybody else state
1	lot casino across country gone bankrupt
1	small business create percent job america
1	texas country economy would rank world
0	oil rig operation united state rest world combined
1	commitment voter take seriously incumbent ohio break pledge vote ted strickland income tax hike defeated soundly tuesday
0	obama administration shut amber alert program government shutdown
1	
1	see america prison population exploding america greater percentage people behind bar nation world
0	say hearing rep gabriel affords suggested gen david perseus army put emphasis le environmentally damaging method like stabbing climbing enemy force order minimize carbon output
1	texas name new male baby many vote one day jose
1	marco rubio voted authorizing president obama strike syria assad used chemical weapon people
0	cash clusters program got go local junkyard got tow house going get
0	one republican gut recognize climate change real
0	david dewhurst record promoting income tax
1	point pleasant beach beach privately owned operated business jenkinsons
0	last five year people killed along mexico border
0	say obama health reform law denies million access affordable insurance
0	close federal prison population consists illegal immigrant
0	say rick scott called education core function state
0	family research council according government agency terrorist group
1	say rep jim winner proposed bill taking away health care oregon child
1	say election former gov tom mean largest winning margin gubernatorial candidate jersey history
0	obamacare biggest tax increase american history
1	said barack obama ready commander chief
1	median male worker country seen raise inflation adjusted year basically
1	im member house representative raised campaign fund last election small contribution le
1	unlike gridlock washington percent bill passed general assembly bipartisan support
0	josh mandal lying record rating ohio investment fund improved
1	beginning last decade america budget surplus billion time took office one year deficit trillion projected deficit trillion next decade
1	taxpayer forced fund final abdul runs trip middle east
1	justice department policy fbi director james come discussing detail federal investigation close election
1	democratic president considerably effective creating private sector job
1	joe biden voted first gulf war opposed surge wanted partition iraq
1	say rick perry plan texas cut funding public school
1	paul ryan budget proposal would privatized medical
1	high school student arrested campus twice likely graduate four time le likely graduate theyre appeared court
0	say marco rubio one open border
1	year federal spending education grown percent test score remain flat
1	american healthcare system burn percent national gdp nobody else close
0	providence port mile closer europe eastern port
1	say need photo id purchase sudafed texas
1	twenty percent housing portland pearl district affordable
1	say allowing payroll tax holiday expire would end costing another estimated job
1	obama budget plan would take national debt percent gross national product historically percent
0	driven health care cost lowest theyre year
1	lot people got rich pay top tax rate percent
1	charleston shootershould never given gun universal background check fast enough
0	twelve judge thrown legal challenge health care law rejected notion health care law unconstitutional
1	
1	say george lemieux one two republican voted president barack obamas job bill
0	precinct allen west patrick murphy recount registered voter guatemala community tally showed voted
1	people unemployment took office unemployment
0	ron klein repeatedly voted favor amnesty illegal immigrant
0	local law enforcement access data hub treasure trove personal info
1	tenure mayor saw houston crime rate drop lowest level year
0	barack obamas columbia university id say foreign student went barry soetoro
0	terry mcauliffe want raise tax pay infinite promise
1	since federal violence woman act adopted case domestic violence fallen percent
1	
0	top percent pay half entire revenue country
0	say never said would keep education funding
1	since college tuition nationwide gone something like four time rate inflation
1	deal school construction project always came budget
0	palin supported right wing extremist pat buchanan president
1	seven president barack obama republican democrat tried expand health care american
0	fighting move tougher penalty workplace gender discrimination state sen glenn grothman said didnt believe woman belonged workplace belonged home cooking cleaning baby
0	put billion revenue raised year buffet rule infrastructure could create infrastructure job
0	proper collective noun group maroon believe congress
1	repeatedly said many predatory loan made mortgage system target african american latino community
1	starting december million job created texas period rest country lost job
0	texas fiscal year money reserve state combined
0	
1	
1	proposed education change cut one teacher pay
0	number uninsured people massachusetts mandate passed
1	firearm homicide percent since texas passed concealed gun permit law
0	upwards percent woman seeking abortion decide abortion seeing ultrasound
0	spend le defense today gdp time since pearl harbor
1	got rid income tax today much revenue year ago
0	jason lander support plan bring remaining suspected terrorist soil
1	suburb inundated former resident atlanta housing project absolutely
1	july mitt romney helped locate missing teenage daughter partner main capital
1	nobody played clip president obama saying bring knife fight well bring gun
0	people rhode island dont want sex marriage
1	wisconsin governor cut requisite much plan would still leave worker better private sector counterpart
0	percent republican support affordable care act
0	say alex sink failed florida homeowner using predatory lending practice
0	say starbucks took christmas brand new cup
1	atmospheric condition could push football pressure approximately one half pound per square inch
0	hillary clinton support unlimited abortion demand moment birth including partial birth abortion taxpayer funding
1	legislation cleared georgia house child legal refugee could obtain state scholarship attend private school
1	went losing million job last six month bush administration adding almost private sector job first six month year
1	last month business created million job last year created job since
1	college loan loan united state can not finance interest rate go
1	house representative never passed resolution disapproval condemn member behavior
1	
1	say million people country cant find full time job million cant see doctor theyre sick million people need government help feed million family owe value home
1	president reagan raised debt ceiling time george bush seven time
0	young american right theyre covered health insurance
1	corporate income tax accounted percent federal tax revenue today despite record breaking profit corporate tax bring le percent
1	last year texas created percent net new job nationwide
0	say two third group targeted irs scrutiny conservative
0	class patrick lumumba university moscow mahmoud abbas one member class ali khamenei thats first established relationship young vladimir putin
1	know pull truth matter started today would take one year one year get troop physically iraq logistical
1	say texas routinely get lot federal spending pay tax
0	cell phone number go public month
0	clackamas county commissioner approved negotiated agreement lower county contribution times portland milwaukee light rail project million million
1	say texas different felony commit oyster
0	obama administration unwilling nation welfare work requirement
1	electric car sale georgia dropped dramatically since tax credit eliminated annual registration fee imposed july
1	many six federal department budget bill delayed opposition amendment would ban confederate battle flag sale federal building gift shop
0	shes voted tax increase hurting middle class small business
0	shell jackson lee texas said hey frankly white aged been time die let next generation spot planet
1	state law would allow operator iron ore mine northern wisconsin fill pristine stream pond mine waste
0	black america country id th wealthiest nation world
1	deadliest year war afghanistan american force
1	florida teacher already paid national average
1	say amanda fritz manages le percent city operation
0	say congressman bill pascrell voted remove public option affordable health care act
1	lawmaker paid season effort first time take lead drawing border two would city
0	greg abbott surrogate referred woman victim rape incest though somehow confronting minor issue
1	
0	data storing microchip would implanted majority people opt become covered public health care option
1	
1	say georgia send state money per child state charter school budget cut applied charter school
0	jorge flora want impose municipal income tax
0	
0	massachusetts public school teach kid young kindergarten gay marriage
0	probably one four five best known american world
1	congress bewildered scope reach spying apparatus explicitly rejected amendment calling disclosure
1	gov maggie hassan budget proposal raise tax small business increase tax fee million
1	hillary clinton start percent country
0	saysrand paula put budget cut military half
1	say legislative cut mean texas spending average le per student
1	say williamson county attorney jan duty never prosecuted single adult felony case
0	fundraising number grassroots support unmatched
1	issue make illegal u negotiate enough firefighter job
1	say although unemployment rate seems improving reflect real job creation caused shrinking actual labor force
0	gov scott walker hired convicted assembly speaker scott jensen oversee raid state employee retirement system help balance state budget
1	general appears wisconsin right work bill would likely apply green bay packed player union
1	called defense minister people republic donetsk actually posted bragging social medium posting shot military transport became apparent civilian pulled social medium
1	right one highest job growth sector leisure hospitality were added job mostly fall within restaurant bar sector industry high paying job department labor estimate industry sector lowest average wage lowest proportion workforce earning minimum subminimum wage job
0	gotten point average federal worker make twice much average private sector worker
0	political appointee ipac make major health care decision million american
1	last three president go back early find three president row consecutively elected
1	recent associated press poll nder gonzalez percent without national coverage mccain obama
1	today first time fifteen year master lock ionized plant milwaukee running full capacity
1	tom reed actually voted every single trade deal ever come form
0	isi camp mile texas mexican authority confirm
0	new federal projection estimate health care overhaul cost trillion year well billion democrat originally claimed
0	say new jersey rep donald payne frank alone socialist openly serving congress
0	unemployment rate may high percent
1	common core federal government fingerprint thing
0	social security indeed pond scheme
1	arizona law make state crime something already federal crime
0	country founded congress exactly attitude sanctity christmas celebration eleven today yeah open
1	miami date county spend school system million every year educating recent immigrant
0	
1	trump proposed enacting largest tax increase american history
1	senator mccain talking tough remark good remark account billion budget
1	pay among highest toll nation privilege crossing bridge
0	say kay bailey hutchison voted sanctuary city
1	mccain hired biggest lobbyist washington run campaign
1	first time party picked multiple seat regular election since mid making largest majority party year
0	john raging populist four year ago ran president
1	house republican complained didnt enough time consider constitutional ban oil drilling showed proposal day open state water oil drilling
0	say one bush family attended republican national convention president bush convention
0	
1	flint mich paying three time poison water paying burlington vt clean water
0	say portland school give muslim student school provided prayer room prayer rug let class five time day pray alla
0	texas republican believe abolishing social security abolishing health care
0	case general motor bush administration wrote check without asking condition change
0	president candidate obama asked disclose donor suspicion foreign source money campaign refused
0	oregon state state usa continues pay medical benefit employee family
0	wonder dont see rand paul much he still shopping billionaire he like one hasn found billionaire fund super pac
0	independent payment advisory board created health care reform law like medical irs power cut medical order pay new government program
0	mitchell park dome lose million plus every year number people going dome going
0	bill legislature you go court fire employee
1	little evidence use red light camera new jersey reduced number severity accident intersection used
1	entire public school system camden last year three student graduated college ready
1	say nearly oregonian almost percent homeowner day delinquent mortgage
0	hate crime bill pastor preacher priest rabbi imam give sermon moral tradition sexual practice could found guilty federal crime
1	say newt gingrich made affirmative statement would support would campaign republican support barbaric procedure known partial birth abortion
1	actual construction contract were awarded date come several hundred million dollar estimate
1	state school funding per pupil percent compared adjusting inflation
0	
1	say state rep wrist thibaut acorn lobbyist
1	fiscal year abortion paid taxpayer via oregon health plan
0	legislative action taken could well rendered completely null void decision supreme court expected june
0	hard work much pay tax new york city end getting money im chris jacob think time someone albany thats making sure region get fair share
1	amazing fact senate already voted amendment reid allowed year last year
1	say state supreme court candidate joe donald twice supported incumbent justice rebecca bradley
1	one every four student fails earn high school diploma major city across america half kid dont graduate
0	say tweet sent wasnt saying check sex tape take look background alicia macho
0	photograph year old hillary clinton featured confederate battle flag background
1	texas lead nation percentage resident without health insurance
0	administration congress systematically cutting funding border security since democrat took control
0	new college tuition reciprocity agreement minnesota make college education affordable wisconsin resident
0	mitt romney first major party candidate president united state modern time release least year tax return
1	gov rick perry spent million dollar lobbyist asking federal money life luxury house cost taxpayer month
1	say ohio law give tax break rich people private jet
0	say paul ryan budget plan end medical
1	say new hampshire third highest property tax country
1	obama tax plan cut tax percent working family
0	percent american today believe barack obama still muslim
0	carol shea porter want increase tax small business job creator
1	bill delaying start class labor day would permit school district shave full week school year
0	whether united state intervene libya
1	say texas rank th nationally support per pupil investment education state
0	said keep plan hasn changed since law passed
1	bernie sanders voted house hard line republican indefinite detention undocumented immigrant sided republican stand vigilante known minuteman taking outpost along border hunt immigrant
0	say florida didnt offer special incentive deutsche bank announced add job florida
0	say first family go four year college
1	gallon poll egypt last year percent egyptian dont want money
1	truth matter administration fbi crime statistic show violent crime reduced massachusetts percent
0	scott middot run losing campaign florida available cabinet position
1	american spend billion hour year tax preparation
1	budget managed department education million
0	first time ever energy independent
1	last year exon pocket nearly million every hour
0	medical monthly premium go due provision incorporated obamacare legislation purposely delayed confuse election campaign
1	right percent florida student leaving high school can not read grade level
1	say republican sen john mccain vote president cuyahoga county general election seven state
0	sayspeter kilmartin voted favor expanding good behavior statute sex offender
1	letting occupy atlanta protester stay woodruff park
1	african american men prison jail probation parole enslaved
1	first week governor tim maine proposed nearly billion tax increase billion including tax increase people earning little year
1	lee fisher watch almost nine job ohio lost lost state country
1	every president raised debt ceiling
0	limiting labor negotiation wage part private sector
0	family del valle city austin resident drive astro go closest grocery store
1	mark warner voted nearly trillion new tax trillion new debt
1	typical white male worker country making real term making average worker making making
0	united nation arm treaty would almost certainly force create international gun registry setting stage full scale gun confiscation
1	people die medical misadventure firearm accident nationally florida
0	took office let remind virtually international pressure iran
1	minimum wage mostly entry level wage young people
1	last month alone apprehended extremist within border sent border region afghanistan pakistan commit new act terror
1	governor stood big oil company
1	year best private sector job growth since
0	say abortion doctor flying state performing abortion flying
1	speaker gingrich year supported federal individual mandate health insurance
1	least shooting year angel cameras mayor providence
1	maurice ferry say kendrick meek voted percent time democrat party
1	wisconsin dead last income growth among midwestern state gov scott walker term
0	three cent per ounce soda tax philadelphia would result loss family sustaining teaser union job countless job beverage industry
1	challenge administration suspend le public official month
0	
1	ninety percent texas say want nursing home close poll higher anything else
1	mccain sought political support minister john page belief hurricane katrina god punishment gay right called catholic church antichrist false cult
1	say percent federal tax filer paid zero federal income tax
1	debt ceiling fight stock market lost point
0	since wisconsin gov scott walker took office losing job rate seen decade
1	would first republican senator elected new jersey year
1	wisconsin attorney general state treasurer ordered daughter earth day founder taylor nelson discus climate change state time
0	say union take away hard earned money teacher firefighter police officer play politics
0	president bush never one interview new york time entire presidency
1	american lose health insurance every single day
0	mr trump self financing campaign dont donor
1	nearly high school roughly percent secondary school united state produce half nation dropout
0	wisconsin one county dane thats hand counting vote presidential recount
1	ten thousand atlanta household pay percent income towards rent
1	rick perry planned retire legislature best friend david week talked switching party running gop nomination agriculture commissioner
1	usage synthetic marijuana dramatically increased instance violence bodily harm even death risen
1	tenured teacher last year dismissed incompetence
0	providence teacher contract one longest country
0	look debt accumulated last two year debt president president combined
1	annual precipitation increased rhode island inch last century
1	state budget proposal submitted time earliest governor done two decade
1	ohio meeting obligation update voter registration voter change address bm
1	vietnamese third commonly spoken language texas
0	generous opinion good time bill entire united state
0	barack obama wrote thesis columbia university criticized autocratic thug said constitution gave american tackle hypocrisy
0	you find black almost every regiment throughout south fought right alongside white southern civil war
0	likely triggering cause microcephaly tap shot vaccine recently mandated brazilian government injected pregnant woman
1	economy still three people looking every job opening
1	say got union agree million reduction salary health benefit serving dane county executive wisconsin
1	democrat lost state legislator since barack obama president
1	carly firing shes banning assault weapon
0	hillary baby bond proposal would give million baby born year totaling billion per year multiplied four year billion
0	rhode island hybrid plan well first state nation
1	terrorist attack bengali state department failed honor repeated request additional security instead actually reduced security libya
1	failure raise debt limit force default debt payment
0	democrat legislature voted various pork project including million scoreboard milwaukee buck
1	bill mccollum hold position embryonic stem cell research barack obama
1	nra leadership washington pretty much people intact expanded background check
0	
1	number people atlanta dying hiv aid declined percent
0	accuses president barack obama making contradictory claim effort kill obama bin laden
1	year clinton major loss democrat across nation
0	percent job lost barack obamas first term belonged woman
1	used policy republican party get rid department education finally get charge chance something double size department education
0	inmate pushed triple bunker cell intended two inmate bunker classroom area supposed designated inmate labor
0	actu didnt call investigation newark police department called immediate federal monitor
1	say highway closed el paso bullet flying across border
0	house representative fails extend middle class tax cut middle class rhode island family see federal income tax increase
1	percent income gain last year gone top percent
1	eight nine state competitive senate race hispanic make le percent electorate
0	actually took number muslim american one largest muslim country world
0	say ikta khrushchev brought extra shoe united nation session banned desk protest
0	jim renacci voted repeatedly end medical
1	sen joe liebermans home state public option cover citizen introduced republican governor
1	say month special session cost state day legislator daily living expense
1	wind power nearly million home across country
1	say business pay roughly percent tax texas
1	say donald trump want deport dreamer
0	say barack obama apparently vetting people saying anybody come united state
1	say lawmaker seek defend planned parenthood cutting child small piece
1	say oregon near top top list come capital gain tax
1	issue american people care getting america back work
0	
1	say honda storm voted fund taj medal courthouse
1	france surveillance program thousandfold invasive united state
1	last week blue chip economic indicator came survey lot private forecast almost predicting turnaround third quarter positive growth fourth quarter
1	since united state began negotiation iran thats probably first year half iran advanced nuclear program last decade
0	say ohio center used great plant thousand people worked left job moved overseas
0	new law doctor performing drug induced abortion could charged woman dont return follow care
1	say veteran disability claim backlog doubled obamas first term
1	romney adviser admits romneycare blueprint obamacare
0	say texas voter asked act november proposed constitutional amendment affecting property tax
0	sent letter subscriber apologizing bad coverage
1	business oregon shrink back business result law
0	say straight year major hurricane striking land united state bore hole right whole climate change argument
1	
0	
0	member congress receive full pay retirement serving one term
1	say worked democratic legislature balance spending revenue end four year term rainy day fund established billion
0	alone infant reported died following attempted abortion notably one year
0	say cause death woman killed spouse domestic partner
1	everyone everywhere spending hour job le time family bringing home smaller smaller paycheck theyre paying gas pump grocery store
1	hour sleep lose change daylight saving time might initially pose health risk
0	first latina run governor texas
0	say every legislative district state least one craft brewery countless home brewer
0	ohio invested child raising school funding percent last budget
1	poverty level dallas school district one highest country higher new york chicago los angeles houston detroit newark
1	say last six month bush administration lost million job including job january alone
0	nancy pesos met president assad syria nobody got upset
0	past eight year gov carrier mr carrier would host lighting state house christmas tree
1	rhode island second heavily deployed national guard united state
0	say demand mean turnaround district superintendent milwaukee public school said district need gutted
1	nearly travis county government race settled time democratic primary
0	say mahatma gandhi said first ignore laugh fight win
1	american people appalled learn health care bill exempt congressional leadership committee staff
1	say number american living poverty line highest level since
1	admit permanent immigrant middle east every year
1	say paid family leave program standard five nation around world
0	nearly wisconsinite lost job since governor walker republican took january
0	say last year french stood united state foreign policy
1	average middle class family tax today lower took office
0	say attorney general rosetta lynch member bill clinton defense team whitewater corruption probe
0	say thousand manhattan rally donald trump chanting hate muslim hate black want great country back
1	barack obama passed law moving people welfare work
1	say mitt romney wrong claim spending obama accelerated pace without precedent recent history actually risen slower time nearly year
1	say president barack obama promised pathway citizenship undocumented immigrant didnt deliver jack squat
1	california robust job growth outages rest nation
1	youre mexican get sent back youre noncontiguous country like central american country stay united state
1	say united state actually export gasoline diesel fuel imported first time since think
1	say richard burn one three senator voted ban insider trading member congress called vote brave
0	christian pastor vermont sentenced one year prison refusing marry gay couple
1	rhode island state officer state supported carry duty unarmed
1	say united state highest corporate tax rate world
0	
1	law clear monies recorded trap shall paid general fund treasury reduction public debt
0	veteran many case treated worse illegal immigrant
0	recent solar energy policy georgia resulted rate hike result solar becoming economically viable
1	non partisan government accountability office found percent mexico border full control border patrol
1	demand transportation choice rise percent ohio riding passenger train past year
1	poll conducted egypt revealed percent egyptian oppose receiving foreign aid united state
0	spend twice much per capt health care nation earth
0	say texas education agency follows make sure undocumented immigrant paying state tuition texas college applying permanent residency
1	say state district columbia voted democratic six consecutive presidential election
0	hidden healthcare gov code language mean user waive reasonable right privacy personal information
1	one recent poll said percent american people said either anything start health care reform
0	canton cost send community notification one level sex offender
0	united state building aircraft long range bomber additional aircraft carrier nuclear submarine
0	every year spend roughly billion tax compliance roughly budget entire military entirely wasted tax compliance
1	say teacher make average new jersey dollar year work day
1	exporter using federal loophole deceptive sell product made cat dog fur consumer
1	city atlanta either highest second highest average water bill country
1	exchange five minute bill clinton government qatar going give million clinton foundation
1	speaker rubio supported gun restriction included background check waiting period
1	salary austin resident dont work city government going percent year last several year
0	know percent baby born oregon hispanic
1	one two state eight consecutive month declining unemployment twenty one state increased unemployment last month went
0	barack obama want unilaterally disarm nation
0	
0	milwaukee problem include percent black male unemployment
0	say texas railroad commissioner michael williams attended tea party gathering
0	harry reid voted give special tax break illegal alien
0	job growth united state fastest pace country history
1	atlanta issued increasing number citation collected increasing amount revenue since mayor basis reed took office
1	say known veto corleone cutting spending florida governor
1	last time republican senate candidate beat two incumbent
1	respond puerto rico debt crisis
1	republican governor election took higher percentage republican voted yet also carried independent point
1	john mccain even mentioned running mate john kerry
1	cast couple vote lone dissenters
0	say he never asked inflationary budget increase budget milwaukee county sheriff
1	delivered tax relief republican combined
0	say president obama waived work requirement welfare
1	oregon family living poverty least one parent work
1	ninety seven percent time thats often mark warner vote president obama
1	say array statistic show condition part baltimore rival west bank palestine north korea distressed city nigeria india china south africa
1	number make clear georgia voter increasingly taking advantage early voting opportunity
0	say ocean spray moving bordentown processing facility pennsylvania largely cost associated regional greenhouse gas initiative
1	
1	rhode island almost dead last among northeastern state length time first degree murderer must spend prison theyre eligible parole
0	really great program american history social security done without republican medical done without republican support last vote realized get board
0	diane black voted fund obamacare
1	hispanic population gwinnett henry county increased percent percent respectively since republican presidential candidate getting smaller percentage vote county
1	bipartisan senator united state senate
0	current debate authorizing military action islamic state would first time congress would place limit commander chief ability commander chief
1	
1	marijuana kid smoking today marijuana jeb bush smoked year ago
1	barack obama voted born alive legislation illinois virtually identical federal law
1	say trump shirt made bangladesh trump suit mexico trump vodka netherlands trump crystal aware slovenia cufflink tie china
0	say president barack obama opened new trade relationship nation
1	say taxpayer subsidy oregon convention center hotel jumped million closed door session
1	jeb bush state florida decided private email disclose
1	history tell u job growth always lag behind economic growth
1	bill powell consistent force behind every major tax increase virginia last decade
1	rhode island voter used moderate party master lever mechanism didnt single moderate ballot
0	say hillary clinton even deleted record total support trans pacific partnership trade agreement book
0	obama say iran tiny country pose serious threat
0	barbara boxer worried weather instead terrorism biggest threat national security
1	spend three time entitlement debt service defense
0	election american people overwhelmingly said dont want obamacare dont want amnesty
1	congress percent approval rating yet percent incumbent lawmaker elected
1	president budget would take non defense spending lowest level percentage economy since jfk
1	approximately million disenfranchised felon united state one quarter florida
0	obama basically threatened bomb pakistan
0	governor consult member party released plan
0	ohio lost population every state country except two
1	california donald trump given jerry brown gavin newsok kamal harris
0	
1	ed gillespie book promoted individual health care mandate recommends enforced irs income tax code
1	say income tax rate eisenhower high percent
1	american homeownership rate lowest rate yr
1	staffing ratio officer resident seattle wed officer department
1	department veteran affair doctor pro recommending medical marijuana
1	career politician daniel webster became speaker house wasted money spiral staircase office
0	say difference barack obama year experience
1	
0	
0	tampa strip club capital world
0	said reached power sharing agreement republican lt gov casey cable
0	
1	say rep allen west constituent mine
0	give foreign aid cuba venezuela even though country enemy
0	agreement go effect million mexican citizen become eligible social security benefit may far stronger claim benefit protection cut citizen
0	earlier year john depetro accused sexually assaulting female co worker
0	photo tea party protest show crowd sprawling capitol washington monument
0	every one supervisor election florida refused carry effort remove noncitizen voter roll
1	bill richardson major democratic candidate plan withdraw american troop iraq major democratic candidate support leaving american troop iraq indefinitely
1	earned vote state wisconsin donald trump new york
0	stamp farm wind turbine built health risk flicker impact created shadow blade turbine pose real significant health risk particularly seizure
0	gov crest veto also clear way taxpayer funding abortion florida
1	say condemned violence campaign stop arizona march
1	according recent report wisconsin high school graduation rate also third best country
1	iran extremist hijacked broad based popular revolution shah established brutal theocracy
0	dem controlled ohio house voted change process create objective criterion modify constitution take politics effort draw legislative boundary
0	say sen sherdog brown responsible trillion debt
0	tom barrett leadership violent crime milwaukee decreased lowest level year
0	barack obama appeared video whoop
1	florida concealed weapon permit nation nearly double second state texas
1	president george bush month uninterrupted job creation revenue time high
0	say compared direct sale manufacturer consumer save avg per car sold franchise dealer model
1	say josh mandal voted let insurance company deny coverage autism
0	prior obamacare wisconsin percent wisconsinite covered insurance obamacare percent wisconsinite covered insurance hasn impact
0	building running atlanta streetcar projected create job
0	wisconsin one blues state scott walker unemployment rate around
0	residential property tax providence nearly percent mayor cameras
1	assault weapon handgun allowed state capitol bullion trumpet helium balloon flag pole banned
0	teacher working third consecutive year longer without salary increase
1	highest paid employee state rhode island basketball coach
0	
1	jeb bush two term office florida graduation rate dead last remains near bottom
0	were seen increase alcohol use underage kid even though alcohol illegal kid
0	obamacare bureaucrat trying tell could get cat scan would delayed treatment
1	proposed keystone xl oil pipeline bipartisan proposal
1	
1	say mitt romney gave speech week ago said still troop iraq
1	say david dewhurst explicitly advocated guest worker program illegal immigrant
0	barack obama day senate able vote quite often present
1	
0	say opponent bill flores helped run company laid worker paid executive million
0	say michelle obama people staff nancy reagan
0	decision last week th time supreme court voted president exceeded constitutional authority
0	say tommy baldwin support law government take decision medicine doctor hospital
0	say nothing continue let obamacare simon billion dollar top medical go away le year certain account fall apart seam
0	say sen john mccain spent july weekend islamabad pakistan selling advanced weapon folk harbor obama bin laden
0	say donald trump doesnt make thing america
1	say republican presidential candidate gov john basic spent day state used taxpayer money costly campaign
0	ever wonder one ever came forward obamas past saying knew attended school friend etc one person ever come forward past
1	california sixth largest economy planet earth
0	barack obama plan call mandate fine small business
